time (ms),datetime,samples,Viavi.Cell.Name,Viavi.isEnergySaving,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbUsedDl,RRU.PrbUsedUl,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotUl,RRU.PrbTotDl,RRU.MaxLayerDlMimo,CARR.AverageLayersDl,Viavi.Cell.AverageBeamsDl,RRC.ConnMean,RRC.ConnMax,QosFlow.TotPdcpPduVolumeUl,QosFlow.TotPdcpPduVolumeDl,PEE.AvgPower,PEE.Energy,Viavi.PEE.SleepTimerTotal,MM.HoExeIntraReq,MM.HoExeIntraSucc,MM.HoExeInterReq,MM.HoExeInterSucc,Viavi.PEE.EnergyEfficiency,Viavi.Radio.power,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.RuId,Viavi.NrPci,Viavi.NrCgi,Viavi.Cell.LinkCost,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabFailCause.NetworkReject,Viavi.Frequency,Viavi.SpectralEfficiencyDl,Viavi.SpectralEfficiencyUl,Viavi.QoS.Score
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S5/N1/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,0,-1892,-860,10,5,9,34,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S5/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,120,-1892,-860,10,5,9,35,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S5/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,-1892,-860,10,5,9,36,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S6/N1/C1,0,7.8549,0.360439,11.0117,105.882,106,106,99.8889,10.0111,1,1,1,1,1,360.439,7854.9,103.076,0.0129051,0,0,0,0,0,76.2178,50,1,0,-127,-1047,10,6,11,37,4240821235048455,0,0,0,0,0,0,0,0,2100,0.392745,0.0180219,97.9933
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S6/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,120,-127,-1047,10,6,11,38,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S6/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,-127,-1047,10,6,11,39,4240821235048455,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S7/N1/C1,0,7.8549,0.360439,11.0117,105.882,106,106,99.8889,10.0111,1,1,1,1,1,360.439,7854.9,103.076,0.0129051,0,0,0,0,0,76.2178,50,1,0,917,-760,10,7,13,40,4240821235048455,0,0,0,0,0,0,0,0,2100,0.392745,0.0180219,97.9933
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S7/N1/C2,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,120,917,-760,10,7,13,41,4240821235048456,0,0,0,0,0,0,0,0,2100,0,0,0
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,S7/N1/C3,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.00697647,0,0,0,0,0,0,50,1,240,917,-760,10,7,13,42,4240821235048456,0,0,0,0,0,0,0,0,2100,0,0,0
1672532100000,2023-01-01 00:15:00 ~ 00:29:59,900,S1/N12/C1,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0,55.75,0.0209139,0,0,0,0,0,0,50,1,0,-535,907,10,1,2,1,4240821235048448,0,0,0,0,0,0,0,0,700,0,0,0
